pplus_low,pplus_high,pminus_low,pminus_high,ot_hybrid_weight
0.64,0.72,4.56,4.64,0.9965582588130784
0.64,0.72,4.64,4.72,0.996492796129498
0.64,0.72,4.72,4.8,0.9966536583730992
0.64,0.72,4.8,4.88,0.9965835604181071
0.64,0.72,4.88,4.96,0.9971593313221458
0.64,0.72,4.96,5.04,0.9974352461606131
0.64,0.72,5.04,5.12,0.9969583358733485
0.64,0.72,5.12,5.2,0.9971654696693518
0.64,0.72,5.2,5.28,0.9975493830275318
0.72,0.8,0.0,0.08,0.0
0.72,0.8,0.08,0.16,0.0
0.72,0.8,0.16,0.24,0.0
0.72,0.8,0.24,0.32,0.0
0.72,0.8,0.32,0.4,0.0
0.72,0.8,0.4,0.48,0.0
0.72,0.8,0.48,0.56,0.0
0.72,0.8,0.56,0.64,0.0
0.72,0.8,0.64,0.72,0.0
0.72,0.8,0.72,0.8,0.0
0.72,0.8,0.8,0.88,0.0
0.72,0.8,0.88,0.96,0.0
0.72,0.8,0.96,1.04,0.0
0.72,0.8,1.04,1.12,0.7889832337914654
0.72,0.8,1.12,1.2,0.8690499424595028
0.72,0.8,1.2,1.28,0.884599030529807
0.72,0.8,1.28,1.36,0.9344250686682639
0.72,0.8,1.36,1.44,0.9389904788754052
0.72,0.8,1.44,1.52,0.950537885874649
0.72,0.8,1.52,1.6,0.9571164960211181
0.72,0.8,1.6,1.68,0.9620821136273906
0.72,0.8,1.68,1.76,0.9687079513564079
0.72,0.8,1.76,1.84,0.9663468920357408
0.72,0.8,1.84,1.92,0.9687679169558526
0.72,0.8,1.92,2.0,0.9792065594766481
0.72,0.8,2.0,2.08,0.9814601038950699
0.72,0.8,2.08,2.16,0.9815991439684836
0.72,0.8,2.16,2.24,0.9810751646917789
